Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
15,7.5,1,59.462,9.91,0.378,0,2.052
15,7.5,1,59.438,9.996,12.551,0.162,2.052
15,7.5,1,59.458,9.946,44.693,0.362,2.052
15,7.5,1,59.459,9.964,55.72,0.462,2.052
15,7.5,1,59.469,9.984,66.748,0.562,2.052
15,7.5,1,59.476,10.004,77.776,0.662,2.052
15,7.5,1,59.467,10.025,87.974,0.762,2.052
15,7.5,1,59.477,10.036,132.989,0.862,2.052
15,7.5,1,59.385,10.041,203.012,0.962,2.052
15,7.5,1,59.397,10.043,283.038,1.062,2.052
15,7.5,1,59.401,10.064,363.063,1.162,2.052
15,7.5,1,59.402,10.056,473.102,1.262,2.052
15,7.5,1,59.43,10.071,628.154,1.362,2.052
15,7.5,1,59.407,10.033,773.194,1.462,2.052
15,7.5,1,59.41,10.029,968.256,1.562,2.052
15,7.5,1,59.408,10.052,1228.34,1.662,2.052
15,7.5,1,59.492,10.028,1508.421,1.762,2.052
15,7.5,1,59.44,10.023,1833.528,1.862,2.052
15,7.5,1,59.415,10.022,2173.633,1.962,2.052
15,7.5,1,59.376,10.027,2498.738,2.062,2.052
15,7.5,1,59.391,10.024,2923.855,2.162,2.052
15,7.5,1,59.334,10.034,3218.948,2.262,2.052
15,7.5,1,59.334,10.003,3678.111,2.262,2.052
