Substrate,Enzyme,Time,alphaNH
10,2,0,0
10,2,5,0.039912248
10,2,10,0.079824481
10,2,15,0.120079324
10,2,20,0.160265148
10,2,25,0.200957504
10,2,30,0.240892729
10,2,35,0.281041486
10,2,40,0.321190235
10,2,45,0.361723266
10,2,50,0.402351675
10,2,55,0.443581996
10,2,60,0.484469392
10,2,65,0.524841778
10,2,70,0.564558636
10,2,75,0.60488411
10,2,80,0.646725407
10,2,85,0.688832057
10,2,90,0.729351496
10,2,95,0.767986041
10,2,100,0.809386727
10,2,105,0.850909531
10,2,110,0.893714131
10,2,115,0.93433725
10,2,120,0.974960478
10,2,125,1.01173252
10,2,130,1.053506093
10,2,135,1.096829951
10,2,140,1.140498597
10,2,145,1.181230361
10,2,150,1.225379027
10,2,155,1.259322271
10,2,160,1.301665604
10,2,165,1.346015126
10,2,170,1.384889422
10,2,175,1.427591396
10,2,180,1.472575046
10,2,185,1.507084713
10,2,190,1.549955497
10,2,195,1.592989971
10,2,200,1.636193289
10,2,205,1.677097629
10,2,210,1.718002196
10,2,215,1.74910961
10,2,220,1.797217646
10,2,225,1.84071529
10,2,230,1.884394201
10,2,235,1.925358717
10,2,240,1.972317391
10,2,245,2.001444633
10,2,250,2.048252733
10,2,255,2.089217165
10,2,260,2.130181891
10,2,265,2.174417582
10,2,270,2.218854307
10,2,275,2.249758542
10,2,280,2.294040335
10,2,285,2.338522444
10,2,290,2.379548794
10,2,295,2.420574766
10,2,300,2.465390246
10,2,305,2.49886241
10,2,310,2.547568744
10,2,315,2.588657767
10,2,320,2.625705454
10,2,325,2.675036612
10,2,330,2.720555018
10,2,335,2.744648525
10,2,340,2.794103798
10,2,345,2.835192694
10,2,350,3.045422965
10,2,355,3.256418278
10,2,360,3.462519598
10,2,365,3.640504746
10,2,370,3.823612144
10,2,375,4.011392909
10,2,380,4.213987478
10,2,385,4.422177419
10,2,390,4.625029017
10,2,395,4.804269423
10,2,400,4.98369057
10,2,405,5.158333277
10,2,410,5.358268173
10,2,415,5.558202512
10,2,420,5.763744215
10,2,425,5.946862115
10,2,430,6.109823901
10,2,435,6.289184966
10,2,440,6.491691299
10,2,445,6.689607762
10,2,450,6.887524661
10,2,455,7.070291915
10,2,460,7.239688554
10,2,465,7.423416868
10,2,470,7.615555496
10,2,475,7.811831871
10,2,480,8.017145806
10,2,485,8.195543419
10,2,490,8.286671108
10,2,495,8.272479996
10,2,500,8.272869947
10,2,505,8.279123337
10,2,510,8.281075251
10,2,515,8.281855471
10,2,520,8.284588287
10,2,525,8.292881497
10,2,530,8.298740114
10,2,535,8.306551834
10,2,540,8.319237995
10,2,545,8.328225917
10,2,550,8.34413789
10,2,555,8.359385092
10,2,560,8.37502363
10,2,565,8.391443746
10,2,570,8.410601034
10,2,575,8.420059078
10,2,580,8.433736528
10,2,585,8.453215201
10,2,590,8.471981878
10,2,595,8.490356846
10,2,1905,9.10297956
10,2,1910,9.106527886
10,2,1915,9.103757459
10,2,1920,9.107305759
10,2,1925,9.104534778
10,2,1930,9.108083631
10,2,1935,9.108472716
10,2,1940,9.112095584
10,2,1945,9.109250885
10,2,1950,9.10963997
10,2,1955,9.110029055
10,2,1960,9.110417843
10,2,1965,9.114041394
10,2,1970,9.111196012
10,2,1975,9.111585097
10,2,1980,9.111973885
10,2,1985,9.112362673
10,2,1990,9.115986901
10,2,1995,9.116375821
10,2,2000,9.11676474
10,2,2005,9.117153358
10,2,2010,9.11754258
10,2,2015,9.117931198
10,2,2020,9.115084194
10,2,2025,9.118709039
10,2,2030,9.119098262
10,2,2035,9.119486881
10,2,2040,9.119875802
10,2,2045,9.120264723
10,2,2050,9.120653645
10,2,2055,9.121042566
10,2,2060,9.121431789
10,2,2065,9.121820711
10,2,2070,9.122209633
10,2,2075,9.122598555
10,2,2080,9.122987477
10,2,2085,9.123376399
10,2,2090,9.120527846
10,2,2095,9.120916344
10,2,2100,9.121305428
10,2,2105,9.12169422
10,2,2110,9.118918423
10,2,2115,9.119307373
10,2,2120,9.119696036
10,2,2125,9.120084985
10,2,2130,9.11738086
10,2,2135,9.117769398
10,2,2140,9.118158216
10,2,2145,9.115523713
10,2,2150,9.112958046
10,2,2155,9.113346609
10,2,2160,9.11084782
10,2,2165,9.111236259
10,2,2170,9.10880283
10,2,2175,9.112013138
10,2,2180,9.109579469
10,2,2185,9.109967788
10,2,2190,9.107598002
10,2,2195,9.107986204
10,2,2200,9.105678853
10,2,2205,9.103432633
10,2,2210,9.103820608
10,2,2215,9.101634253
10,2,2220,9.099506047
10,2,2225,9.102410215
10,2,2230,9.10028179
10,2,2235,9.09821043
10,2,2240,9.098598305
10,2,2245,9.098985958
10,2,2250,9.096970375
10,2,2255,9.095009077
10,2,2260,9.09539674
10,2,2265,9.09578419
10,2,2270,9.093876168
10,2,2275,9.092020199
10,2,2280,9.090214902
10,2,2285,9.090602265
10,2,2290,9.090989428
10,2,2295,9.089233863
10,2,2300,9.08962113
10,2,2305,9.085867397
10,2,2310,9.086254293
10,2,2315,9.084641125
10,2,2320,9.089075391
10,2,2325,9.08741554
10,2,2330,9.089849548
10,2,2335,9.090236722
10,2,2340,9.090623896
10,2,2345,9.09101107
10,2,2350,9.091398244
10,2,2355,9.091785418
10,2,2360,9.090124745
10,2,2365,9.086555287
10,2,2370,9.083163207
10,2,2375,9.083549945
10,2,2380,9.078584477
10,2,2385,9.080714204
10,2,2390,9.079357475
10,2,2395,9.078040274
10,2,2400,9.080130472
10,2,2405,9.080516972
10,2,2410,9.079199543
10,2,2415,9.079585966
10,2,2420,9.075089229
10,2,2425,9.075475434
10,2,2430,9.08074508
10,2,2435,9.081131503
10,2,2440,9.079852189
10,2,2445,9.080238692
10,2,2450,9.078997074
10,2,2455,9.079383351
10,2,2460,9.079769628
10,2,2465,9.078564932
10,2,2470,9.080542182
10,2,2475,9.082556482
10,2,2480,9.081314586
10,2,2485,9.081700863
10,2,2490,9.08208714
10,2,2495,9.080882022
10,2,2500,9.082859545
10,2,2505,9.083245822
10,2,2510,9.085260779
10,2,2515,9.084018378
10,2,2520,9.084404656
10,2,2525,9.084790934
10,2,2530,9.086806027
10,2,2535,9.083971381
10,2,2540,9.085949617
10,2,2545,9.086335895
10,2,2550,9.085129854
10,2,2555,9.085516062
10,2,2560,9.085902269
10,2,2565,9.087880858
10,2,2570,9.088266984
10,2,2575,9.087060743
10,2,2580,9.087446802
10,2,2585,9.086276605
10,2,2590,9.088219069
10,2,2595,9.091827973
10,2,2600,9.090584202
10,2,2605,9.092600521
10,2,2610,9.092986717
10,2,2615,9.095041223
10,2,2620,9.093759265
10,2,2625,9.094145617
10,2,2630,9.096200184
10,2,2635,9.09491801
10,2,2640,9.098680094
10,2,2645,9.100813822
10,2,2650,9.104817881
10,2,2655,9.09646295
10,2,2660,9.105591191
10,2,2665,9.109766388
