Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
30,99,3,56.5,10.02,0,0,1.92956
30,99,3,56.7,10.01,5,0,1.92956
30,99,3,56.5,9.96,10,0,1.92956
30,99,3,56.2,9.94,15,0.366215815,1.92956
30,99,3,56,9.94,20,0.88149795,1.92956
30,99,3,56,9.94,25,1.44479664,1.92956
30,99,3,55.9,9.93,30,1.990178705,1.92956
30,99,3,55.9,9.92,35,2.689643745,1.92956
30,99,3,55.9,9.93,40,3.406308745,1.92956
30,99,3,55.9,9.93,45,4.122973745,1.92956
30,99,3,55.9,9.94,50,4.803805495,1.92956
30,99,3,55.8,9.94,55,5.42228739,1.92956
30,99,3,55.9,9.94,60,6.083769185,1.92956
30,99,3,55.9,9.94,65,6.691501105,1.92956
30,99,3,55.8,9.95,70,7.36301621,1.92956
30,99,3,55.8,9.95,75,7.95068151,1.92956
30,99,3,55.8,9.96,80,8.483163605,1.92956
30,99,3,55.9,9.96,85,8.98124578,1.92956
30,99,3,55.8,9.95,90,9.459978,1.92956
30,99,3,55.8,9.96,95,10.01467671,1.92956
30,99,3,55.8,9.96,100,10.58084206,1.92956
30,99,3,55.8,9.97,105,11.04309099,1.92956
30,99,3,55.8,9.98,110,11.48527329,1.92956
30,99,3,55.8,9.97,115,11.83357248,1.92956
30,99,3,55.8,9.97,120,12.22988823,1.92956
30,99,3,55.8,9.99,125,12.69858714,1.92956
30,99,3,55.8,9.98,130,13.11066951,1.92956
30,99,3,55.8,9.99,135,13.42241879,1.92956
30,99,3,55.8,9.98,140,13.72341809,1.92956
30,99,3,55.8,9.98,145,14.04161735,1.92956
30,99,3,55.8,9.97,150,14.41571648,1.92956
30,99,3,55.8,9.98,155,14.84356548,1.92956
30,99,3,55.8,9.98,160,15.25636452,1.92956
30,99,3,55.8,10,165,15.60538038,1.92956
30,99,3,55.8,10,170,15.8834464,1.92956
30,99,3,55.8,9.99,175,16.10776254,1.92956
30,99,3,55.8,9.98,180,16.39012855,1.92956
30,99,3,55.8,9.99,185,16.73126109,1.92956
30,99,3,55.8,10,190,17.04372703,1.92956
30,99,3,55.8,10,195,17.24869322,1.92956
30,99,3,55.8,10,200,17.41137618,1.92956
30,99,3,55.8,9.99,205,17.63712565,1.92956
30,99,3,55.8,9.99,210,17.89369172,1.92956
30,99,3,55.8,10,215,18.18752437,1.92956
30,99,3,55.8,10,220,18.4491071,1.92956
30,99,3,55.8,10,225,18.61752337,1.92956
30,99,3,55.9,10,230,18.76730636,1.92956
30,99,3,55.9,10,235,18.95578925,1.92956
30,99,3,55.9,9.99,240,19.17437208,1.92956
30,99,3,55.9,10,245,19.42663816,1.92956
30,99,3,55.9,10.01,250,19.6222877,1.92956
30,99,3,55.9,10,255,19.74842074,1.92956
30,99,3,55.9,10,260,19.91253703,1.92956
30,99,3,55.9,10,265,20.10030326,1.92956
30,99,3,55.9,10,270,20.3124361,1.92956
30,99,3,55.9,10,275,20.55466887,1.92956
30,99,3,55.9,10.01,280,20.75533507,1.92956
30,99,3,55.9,10.01,285,20.86211815,1.92956
30,99,3,55.9,10,290,20.99541784,1.92956
30,99,3,55.9,10,295,21.16096746,1.92956
30,99,3,55.9,10,300,21.35016702,1.92956
30,99,3,55.9,10.01,305,21.56946651,1.92956
30,99,3,55.9,10.02,310,21.76153273,1.92956
30,99,3,55.9,10.01,315,21.76941604,1.92956
30,99,3,55.9,10.01,320,21.84466587,1.92956
30,99,3,56,10,325,21.97868222,1.92956
30,99,3,56,10,330,22.1306152,1.92956
30,99,3,56,10.01,335,22.31838143,1.92956
30,99,3,56,10.01,340,22.50901432,1.92956
30,99,3,56,10.01,345,22.59358079,1.92956
30,99,3,56,10.01,350,22.67671393,1.92956
30,99,3,56,10.01,355,22.78564701,1.92956
30,99,3,56,10,360,22.90246341,1.92956
30,99,3,56,10.01,365,23.05726305,1.92956
30,99,3,56,10.02,370,23.1912794,1.92956
30,99,3,56,10.01,375,23.23929596,1.92956
30,99,3,56,10.01,380,23.30379581,1.92956
30,99,3,56,10.01,385,23.39767892,1.92956
30,99,3,56,10.01,390,23.51162866,1.92956
30,99,3,56,10.02,395,23.64851167,1.92956
30,99,3,56,10.02,400,23.76102808,1.92956
30,99,3,56,10.01,405,23.80474464,1.92956
30,99,3,56,10.01,410,23.85921118,1.92956
30,99,3,56,10.01,415,23.95166097,1.92956
30,99,3,56.1,10.01,420,24.05486073,1.92956
30,99,3,56.1,10.03,425,24.18099377,1.92956
30,99,3,56,10.02,430,24.225427,1.92956
30,99,3,56.1,10.01,435,24.23402698,1.92956
30,99,3,56,10.01,440,24.28921018,1.92956
30,99,3,56,10.01,445,24.37879331,1.92956
30,99,3,56.1,10,450,24.48270973,1.92956
30,99,3,56.1,10.03,455,24.61887608,1.92956
30,99,3,56.1,10.02,460,24.61887608,1.92956
