Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
30,99,9.89,55.6,9.67,0,0,1.9568
30,99,9.89,55.6,9.67,5,0.1466,1.9568
30,99,9.89,55.6,9.68,10,0.2932,1.9568
30,99,9.89,55.6,9.67,15,0.4398,1.9568
30,99,9.89,55.7,9.67,20,0.5864,1.9568
30,99,9.89,55.6,9.66,25,0.733,1.9568
30,99,9.89,55.7,9.66,30,0.8796,1.9568
30,99,9.89,55.7,9.66,35,1.0262,1.9568
30,99,9.89,55.7,9.67,40,1.1728,1.9568
30,99,9.89,55.7,9.66,45,1.3194,1.9568
30,99,9.89,55.7,9.66,50,1.466,1.9568
30,99,9.89,55.7,9.65,55,1.6126,1.9568
30,99,9.89,55.7,9.65,60,1.7592,1.9568
30,99,9.89,55.7,9.66,65,1.9058,1.9568
30,99,9.89,55.7,9.66,70,2.0524,1.9568
30,99,9.89,55.7,9.66,75,2.199,1.9568
30,99,9.89,55.8,9.66,80,2.3456,1.9568
30,99,9.89,55.7,9.65,85,2.4922,1.9568
30,99,9.89,55.8,9.65,90,2.6388,1.9568
30,99,9.89,55.8,9.65,95,2.7854,1.9568
30,99,9.89,55.8,9.66,100,2.932,1.9568
30,99,9.89,55.8,9.65,105,3.0786,1.9568
30,99,9.89,55.8,9.65,110,3.2252,1.9568
30,99,9.89,55.8,9.65,115,3.3718,1.9568
30,99,9.89,55.8,9.65,120,3.5184,1.9568
30,99,9.89,55.8,9.65,125,3.665,1.9568
30,99,9.89,55.8,9.66,130,3.8116,1.9568
30,99,9.89,55.8,9.65,135,3.9582,1.9568
30,99,9.89,55.8,9.65,140,4.1048,1.9568
30,99,9.89,55.8,9.65,145,4.2514,1.9568
30,99,9.89,55.8,9.65,150,4.398,1.9568
30,99,9.89,55.9,9.65,155,4.5446,1.9568
30,99,9.89,55.9,9.66,160,4.6912,1.9568
30,99,9.89,55.9,9.65,165,4.8378,1.9568
30,99,9.89,55.9,9.65,170,4.9844,1.9568
30,99,9.89,55.9,9.65,175,5.131,1.9568
30,99,9.89,55.9,9.65,180,5.2776,1.9568
30,99,9.89,55.9,9.65,185,5.4242,1.9568
30,99,9.89,55.9,9.66,190,5.5708,1.9568
30,99,9.89,55.9,9.66,195,5.7174,1.9568
30,99,9.89,55.9,9.66,200,5.864,1.9568
30,99,9.89,55.9,9.65,205,6.0106,1.9568
30,99,9.89,55.9,9.65,210,6.1572,1.9568
30,99,9.89,55.9,9.65,215,6.3038,1.9568
30,99,9.89,55.9,9.69,220,6.4504,1.9568
30,99,9.89,55.9,9.66,225,6.597,1.9568
30,99,9.89,56,9.66,230,6.7436,1.9568
30,99,9.89,55.9,9.66,235,6.8902,1.9568
30,99,9.89,55.9,9.66,240,7.0368,1.9568
30,99,9.89,55.9,9.67,245,7.1834,1.9568
30,99,9.89,55.9,9.67,250,7.33,1.9568
30,99,9.89,56,9.66,255,7.4766,1.9568
30,99,9.89,55.9,9.66,260,7.6232,1.9568
30,99,9.89,56,9.66,265,7.7698,1.9568
30,99,9.89,55.9,9.66,270,7.9164,1.9568
30,99,9.89,55.9,9.66,275,8.063,1.9568
30,99,9.89,56,9.67,280,8.2096,1.9568
30,99,9.89,56,9.67,285,8.3562,1.9568
30,99,9.89,56,9.67,290,8.5028,1.9568
30,99,9.89,55.9,9.66,295,8.6494,1.9568
30,99,9.89,56,9.66,300,8.796,1.9568
30,99,9.89,56,9.67,305,8.9426,1.9568
30,99,9.89,56,9.67,310,9.0892,1.9568
30,99,9.89,56,9.67,315,9.2358,1.9568
30,99,9.89,56,9.67,320,9.3824,1.9568
30,99,9.89,56,9.67,325,9.529,1.9568
30,99,9.89,56,9.67,330,9.6756,1.9568
30,99,9.89,56,9.7,335,9.8222,1.9568
30,99,9.89,56,9.68,340,9.9688,1.9568
30,99,9.89,56,9.68,345,10.1154,1.9568
30,99,9.89,56,9.68,350,10.262,1.9568
30,99,9.89,56,9.68,355,10.4086,1.9568
30,99,9.89,55.9,9.68,360,10.5552,1.9568
30,99,9.89,55.9,9.68,365,10.7018,1.9568
30,99,9.89,55.9,9.69,370,10.8484,1.9568
30,99,9.89,56,9.69,375,10.995,1.9568
30,99,9.89,55.9,9.69,380,11.1416,1.9568
30,99,9.89,55.9,9.69,385,11.2882,1.9568
30,99,9.89,56,9.68,390,11.4348,1.9568
30,99,9.89,55.9,9.69,395,11.5814,1.9568
30,99,9.89,55.9,9.69,400,11.728,1.9568
30,99,9.89,56,9.7,405,11.8746,1.9568
30,99,9.89,55.9,9.7,410,12.0212,1.9568
30,99,9.89,55.9,9.69,415,12.1678,1.9568
30,99,9.89,55.9,9.69,420,12.3144,1.9568
30,99,9.89,55.9,9.7,425,12.461,1.9568
30,99,9.89,55.9,9.7,430,12.6076,1.9568
30,99,9.89,55.9,9.7,435,12.7542,1.9568
30,99,9.89,55.9,9.7,440,12.9008,1.9568
30,99,9.89,55.9,9.7,445,13.0474,1.9568
30,99,9.89,55.9,9.7,450,13.194,1.9568
30,99,9.89,55.9,9.71,455,13.3406,1.9568
30,99,9.89,55.9,9.71,460,13.4872,1.9568
30,99,9.89,55.9,9.71,465,13.6338,1.9568
30,99,9.89,55.9,9.71,470,13.7804,1.9568
30,99,9.89,55.9,9.71,475,13.927,1.9568
30,99,9.89,55.9,9.71,480,14.0736,1.9568
30,99,9.89,55.9,9.71,485,14.2202,1.9568
30,99,9.89,55.9,9.72,490,14.3668,1.9568
30,99,9.89,55.9,9.72,495,14.5134,1.9568
30,99,9.89,55.9,9.72,500,14.66,1.9568
30,99,9.89,55.9,9.72,505,14.8066,1.9568
30,99,9.89,55.9,9.72,510,14.9532,1.9568
30,99,9.89,55.9,9.72,515,15.0998,1.9568
30,99,9.89,55.9,9.73,520,15.2464,1.9568
30,99,9.89,55.9,9.73,525,15.393,1.9568
30,99,9.89,55.9,9.73,530,15.5396,1.9568
30,99,9.89,55.9,9.73,535,15.6862,1.9568
30,99,9.89,55.9,9.73,540,15.8328,1.9568
30,99,9.89,55.9,9.74,545,15.9794,1.9568
30,99,9.89,55.9,9.74,550,16.126,1.9568
30,99,9.89,55.9,9.74,555,16.2726,1.9568
30,99,9.89,55.9,9.74,560,16.4192,1.9568
30,99,9.89,55.9,9.74,565,16.5658,1.9568
30,99,9.89,55.9,9.73,570,16.7124,1.9568
