Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
40,132,4,55.1,9.47,0,0,2.007
40,132,4,55.1,9.45,5,0.13,2.007
40,132,4,55.1,9.43,10,0.26,2.007
40,132,4,55.1,9.42,15,0.39,2.007
40,132,4,55.1,9.41,20,0.52,2.007
40,132,4,55,9.41,25,0.65,2.007
40,132,4,55,9.4,30,0.78,2.007
40,132,4,55,9.4,35,0.91,2.007
40,132,4,55,9.39,40,1.04,2.007
40,132,4,55,9.38,45,1.17,2.007
40,132,4,55,9.39,50,1.3,2.007
40,132,4,55,9.38,55,1.43,2.007
40,132,4,55,9.37,60,1.56,2.007
40,132,4,55,9.37,65,1.69,2.007
40,132,4,55,9.36,70,1.82,2.007
40,132,4,55.1,9.36,75,1.95,2.007
40,132,4,55,9.36,80,2.08,2.007
40,132,4,55,9.36,85,2.21,2.007
40,132,4,55,9.35,90,2.34,2.007
40,132,4,55,9.35,95,2.47,2.007
40,132,4,55,9.35,100,2.6,2.007
40,132,4,55,9.34,105,2.73,2.007
40,132,4,55,9.34,110,2.86,2.007
40,132,4,55,9.35,115,2.99,2.007
40,132,4,55,9.34,120,3.12,2.007
40,132,4,55,9.34,125,3.25,2.007
40,132,4,55,9.34,130,3.38,2.007
40,132,4,55,9.33,135,3.51,2.007
40,132,4,55,9.34,140,3.64,2.007
40,132,4,55.1,9.34,145,3.77,2.007
40,132,4,55,9.34,150,3.9,2.007
40,132,4,55,9.33,155,4.03,2.007
40,132,4,55,9.33,160,4.16,2.007
40,132,4,55.1,9.33,165,4.29,2.007
40,132,4,55.1,9.33,170,4.42,2.007
40,132,4,55.1,9.33,175,4.55,2.007
40,132,4,55.1,9.33,180,4.68,2.007
40,132,4,55.1,9.33,185,4.81,2.007
40,132,4,55,9.33,190,4.94,2.007
40,132,4,55,9.32,195,5.07,2.007
40,132,4,55.1,9.32,200,5.2,2.007
40,132,4,55,9.33,205,5.33,2.007
40,132,4,55,9.33,210,5.46,2.007
40,132,4,55.1,9.33,215,5.59,2.007
40,132,4,55.1,9.32,220,5.72,2.007
40,132,4,55,9.32,225,5.85,2.007
40,132,4,55,9.32,230,5.98,2.007
40,132,4,55.1,9.33,235,6.11,2.007
40,132,4,55.1,9.33,240,6.24,2.007
40,132,4,55.1,9.32,245,6.37,2.007
40,132,4,55.1,9.32,250,6.5,2.007
40,132,4,55.1,9.32,255,6.63,2.007
40,132,4,55.1,9.32,260,6.76,2.007
40,132,4,55,9.33,265,6.89,2.007
40,132,4,55.1,9.33,270,7.02,2.007
40,132,4,55.1,9.32,275,7.15,2.007
40,132,4,55.1,9.32,280,7.28,2.007
40,132,4,55.1,9.32,285,7.41,2.007
40,132,4,55.1,9.32,290,7.54,2.007
40,132,4,55.1,9.33,295,7.67,2.007
40,132,4,55.1,9.33,300,7.8,2.007
40,132,4,55.1,9.32,305,7.93,2.007
40,132,4,55.1,9.32,310,8.06,2.007
40,132,4,55,9.32,315,8.19,2.007
40,132,4,55,9.32,320,8.32,2.007
40,132,4,55.1,9.33,325,8.45,2.007
40,132,4,55.1,9.33,330,8.58,2.007
40,132,4,55,9.32,335,8.71,2.007
40,132,4,55.1,9.32,340,8.84,2.007
40,132,4,55.1,9.32,345,8.97,2.007
40,132,4,55.1,9.33,350,9.1,2.007
40,132,4,55.1,9.33,355,9.23,2.007
40,132,4,55.1,9.33,360,9.36,2.007
40,132,4,55,9.33,365,9.49,2.007
40,132,4,55.1,9.32,370,9.62,2.007
40,132,4,55,9.33,375,9.75,2.007
40,132,4,55,9.33,380,9.88,2.007
40,132,4,55,9.33,385,10.01,2.007
40,132,4,55,9.33,390,10.14,2.007
40,132,4,55,9.33,395,10.27,2.007
40,132,4,55.1,9.33,400,10.4,2.007
40,132,4,55,9.33,405,10.53,2.007
40,132,4,55.1,9.33,410,10.66,2.007
40,132,4,55,9.33,415,10.79,2.007
40,132,4,55,9.33,420,10.92,2.007
40,132,4,55,9.33,425,11.05,2.007
40,132,4,55.1,9.33,430,11.18,2.007
40,132,4,55,9.33,435,11.31,2.007
40,132,4,55,9.33,440,11.44,2.007
40,132,4,55,9.34,445,11.57,2.007
40,132,4,55,9.34,450,11.7,2.007
40,132,4,55.1,9.34,455,11.83,2.007
40,132,4,55,9.33,460,11.96,2.007
40,132,4,55,9.33,465,12.09,2.007
40,132,4,55,9.33,470,12.22,2.007
40,132,4,55,9.34,475,12.35,2.007
40,132,4,55,9.34,480,12.48,2.007
40,132,4,55,9.34,485,12.61,2.007
40,132,4,55,9.34,490,12.74,2.007
40,132,4,55,9.34,495,12.87,2.007
40,132,4,55,9.34,500,13,2.007
40,132,4,55,9.34,505,13.13,2.007
40,132,4,55,9.34,510,13.26,2.007
40,132,4,55,9.34,515,13.39,2.007
40,132,4,55,9.34,520,13.52,2.007
40,132,4,55,9.34,525,13.65,2.007
40,132,4,55.1,9.34,530,13.78,2.007
40,132,4,55,9.35,535,13.91,2.007
40,132,4,55,9.35,540,14.04,2.007
40,132,4,55,9.35,545,14.17,2.007
40,132,4,55,9.34,550,14.3,2.007
40,132,4,55,9.34,555,14.43,2.007
40,132,4,55,9.35,560,14.56,2.007
40,132,4,55,9.35,565,14.69,2.007
40,132,4,55,9.35,570,14.82,2.007
40,132,4,55,9.35,575,14.95,2.007
40,132,4,55,9.35,580,15.08,2.007
40,132,4,55,9.35,585,15.21,2.007
40,132,4,55,9.35,590,15.34,2.007
40,132,4,55,9.36,595,15.47,2.007
40,132,4,55,9.36,600,15.6,2.007
40,132,4,55,9.36,605,15.73,2.007
40,132,4,55,9.35,610,15.86,2.007
40,132,4,55,9.35,615,15.99,2.007
40,132,4,55,9.36,620,16.12,2.007
40,132,4,55,9.37,625,16.25,2.007
40,132,4,55,9.36,630,16.38,2.007
40,132,4,55,9.36,635,16.51,2.007
40,132,4,55,9.36,640,16.64,2.007
40,132,4,55,9.36,645,16.77,2.007
40,132,4,55,9.36,650,16.9,2.007
40,132,4,55,9.37,655,17.03,2.007
40,132,4,55,9.37,660,17.16,2.007
40,132,4,55,9.37,665,17.29,2.007
40,132,4,55,9.37,670,17.42,2.007
40,132,4,55,9.37,675,17.55,2.007
40,132,4,55,9.37,680,17.68,2.007
40,132,4,55,9.37,685,17.81,2.007
40,132,4,55,9.37,690,17.94,2.007
40,132,4,55,9.37,695,18.07,2.007
40,132,4,55,9.37,700,18.2,2.007
40,132,4,55,9.37,705,18.33,2.007
40,132,4,55,9.38,710,18.46,2.007
40,132,4,55,9.38,715,18.59,2.007
40,132,4,55,9.38,720,18.72,2.007
40,132,4,55,9.38,725,18.85,2.007
40,132,4,55,9.38,730,18.98,2.007
40,132,4,55,9.38,735,19.11,2.007
40,132,4,55,9.38,740,19.24,2.007
40,132,4,55,9.39,745,19.37,2.007
40,132,4,55,9.38,750,19.5,2.007
40,132,4,55,9.38,755,19.63,2.007
40,132,4,55,9.38,760,19.76,2.007
40,132,4,55,9.38,765,19.89,2.007
40,132,4,55,9.39,770,20.02,2.007
40,132,4,55,9.39,775,20.15,2.007
40,132,4,55,9.39,780,20.28,2.007
40,132,4,55,9.39,785,20.41,2.007
40,132,4,55,9.39,790,20.54,2.007
40,132,4,55,9.39,795,20.67,2.007
40,132,4,55,9.39,800,20.8,2.007
40,132,4,55,9.4,805,20.93,2.007
40,132,4,55,9.4,810,21.06,2.007
40,132,4,55,9.4,815,21.19,2.007
40,132,4,55,9.39,820,21.32,2.007
40,132,4,55,9.39,825,21.45,2.007
40,132,4,55,9.4,830,21.58,2.007
40,132,4,55,9.4,835,21.71,2.007
40,132,4,55,9.4,840,21.84,2.007
40,132,4,55,9.4,845,21.97,2.007
40,132,4,55,9.4,850,22.1,2.007
40,132,4,55,9.4,855,22.23,2.007
40,132,4,55,9.4,860,22.36,2.007
40,132,4,55,9.41,865,22.49,2.007
40,132,4,55,9.41,870,22.62,2.007
40,132,4,55,9.41,875,22.75,2.007
40,132,4,55,9.41,880,22.88,2.007
40,132,4,55,9.41,885,23.01,2.007
40,132,4,55,9.41,890,23.14,2.007
40,132,4,55,9.42,895,23.27,2.007
40,132,4,55,9.41,900,23.4,2.007
40,132,4,55,9.42,905,23.53,2.007
40,132,4,55,9.41,910,23.66,2.007
40,132,4,55,9.41,915,23.79,2.007
40,132,4,55,9.42,920,23.92,2.007
40,132,4,55,9.42,925,24.05,2.007
40,132,4,55,9.42,930,24.18,2.007
40,132,4,55,9.42,935,24.31,2.007
40,132,4,55,9.42,940,24.44,2.007
40,132,4,55,9.42,945,24.57,2.007
40,132,4,55,9.42,950,24.7,2.007
40,132,4,55,9.43,955,24.83,2.007
40,132,4,55,9.43,960,24.96,2.007
40,132,4,55,9.43,965,25.09,2.007
40,132,4,55,9.43,970,25.22,2.007
40,132,4,55,9.43,975,25.35,2.007
40,132,4,55,9.43,980,25.48,2.007
40,132,4,55,9.44,985,25.61,2.007
40,132,4,55,9.44,990,25.74,2.007
40,132,4,55,9.43,995,25.87,2.007
40,132,4,55,9.43,1000,26,2.007
40,132,4,55,9.43,1005,26.13,2.007
40,132,4,55,9.44,1010,26.26,2.007
40,132,4,55,9.44,1015,26.39,2.007
40,132,4,55,9.44,1020,26.52,2.007
40,132,4,55,9.44,1025,26.65,2.007
