Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
25,12.5,1,59.437,9.938,0.378,0,2.052
25,12.5,1,59.434,9.922,10.65100002,0,2.052
25,12.5,1,59.443,9.91,20.73199998,0.002,2.052
25,12.5,1,59.443,9.91,20.733,0.002,2.052
25,12.5,1,59.443,9.91,20.73499998,0.002,2.052
25,12.5,1,59.443,9.91,20.92000002,0.002,2.052
25,12.5,1,59.443,9.91,20.92099998,0.002,2.052
25,12.5,1,59.443,9.914,22.06399998,0.122,2.052
25,12.5,1,59.443,9.941,22.44400002,0.143,2.052
25,12.5,1,59.453,9.921,32.52199998,0.143,2.052
25,12.5,1,59.435,9.912,42.60199998,0.145,2.052
25,12.5,1,59.435,9.912,42.603,0.145,2.052
25,12.5,1,59.435,9.912,42.60499998,0.145,2.052
25,12.5,1,59.435,9.91,42.79000002,0.145,2.052
25,12.5,1,59.435,9.91,42.79099998,0.145,2.052
25,12.5,1,59.435,9.919,43.743,0.225,2.052
25,12.5,1,59.435,9.94,44.12299998,0.245,2.052
25,12.5,1,59.457,9.919,54.204,0.245,2.052
25,12.5,1,59.457,9.919,54.20599998,0.245,2.052
25,12.5,1,59.457,9.919,54.207,0.245,2.052
25,12.5,1,59.457,9.921,54.39199998,0.245,2.052
25,12.5,1,59.457,9.921,54.582,0.245,2.052
25,12.5,1,59.456,9.913,64.66600002,0.245,2.052
25,12.5,1,59.456,9.913,64.668,0.245,2.052
25,12.5,1,59.456,9.913,64.66999998,0.245,2.052
25,12.5,1,59.456,9.915,64.85500002,0.245,2.052
25,12.5,1,59.456,9.915,64.85599998,0.245,2.052
25,12.5,1,59.456,9.915,66,0.366,2.052
25,12.5,1,59.456,9.952,66.37900002,0.388,2.052
25,12.5,1,59.438,9.931,76.45999998,0.388,2.052
25,12.5,1,59.41,9.93,86.535,0.39,2.052
25,12.5,1,59.374,9.925,96.61300002,0.392,2.052
25,12.5,1,59.357,9.92,106.692,0.394,2.052
25,12.5,1,59.357,9.92,106.694,0.394,2.052
25,12.5,1,59.357,9.92,106.695,0.394,2.052
25,12.5,1,59.357,9.919,106.88,0.394,2.052
25,12.5,1,59.357,9.919,106.881,0.394,2.052
25,12.5,1,59.357,9.932,108.215,0.511,2.052
25,12.5,1,59.367,9.932,118.293,0.511,2.052
25,12.5,1,59.371,9.927,128.366,0.513,2.052
25,12.5,1,59.368,9.926,138.438,0.515,2.052
25,12.5,1,59.35,9.924,148.515,0.517,2.052
25,12.5,1,59.366,9.919,158.591,0.519,2.052
25,12.5,1,59.366,9.919,158.592,0.519,2.052
25,12.5,1,59.366,9.919,158.594,0.519,2.052
25,12.5,1,59.366,9.92,158.779,0.519,2.052
25,12.5,1,59.366,9.92,158.78,0.519,2.052
25,12.5,1,59.366,9.919,159.159,0.535,2.052
25,12.5,1,59.366,9.917,159.922,0.611,2.052
25,12.5,1,59.366,9.927,160.301,0.632,2.052
25,12.5,1,59.378,9.935,170.378,0.632,2.052
25,12.5,1,59.409,9.929,180.448,0.634,2.052
25,12.5,1,59.438,9.927,190.521,0.636,2.052
25,12.5,1,59.453,9.926,200.592,0.638,2.052
25,12.5,1,59.467,9.922,210.669,0.64,2.052
25,12.5,1,59.48,9.918,220.748,0.642,2.052
25,12.5,1,59.48,9.918,220.749,0.642,2.052
25,12.5,1,59.48,9.918,220.751,0.642,2.052
