Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
20,66,3,55.9,10.03,0,0,1.97736
20,66,3,55.9,9.98,5,0,1.97736
20,66,3,55.9,9.94,10,0.0462,1.97736
20,66,3,53,9.92,15,0.3633,1.97736
20,66,3,52.5,9.93,20,0.9219,1.97736
20,66,3,54,9.98,25,1.6114,1.97736
20,66,3,54.4,10.01,30,1.7395,1.97736
20,66,3,55.2,10,35,2.2092,1.97736
20,66,3,55.4,9.92,40,2.2092,1.97736
20,66,3,55.5,9.91,45,2.6565,1.97736
20,66,3,55.6,9.91,50,3.3565,1.97736
20,66,3,55.7,9.93,55,4.0565,1.97736
20,66,3,55.7,9.92,60,4.6403,1.97736
20,66,3,55.8,9.94,65,5.2731,1.97736
20,66,3,55.8,9.95,70,5.7771,1.97736
20,66,3,55.9,9.94,75,6.0998,1.97736
20,66,3,55.9,9.94,80,6.6024,1.97736
20,66,3,55.9,9.94,85,7.1519,1.97736
20,66,3,55.9,10.03,90,7.6328,1.97736
20,66,3,55.9,9.98,95,7.672,1.97736
20,66,3,56,9.96,100,7.8141,1.97736
20,66,3,56,9.95,105,8.1249,1.97736
20,66,3,56,9.95,110,8.5358,1.97736
20,66,3,56,9.95,115,8.9635,1.97736
20,66,3,56,9.98,120,9.3639,1.97736
20,66,3,56,10.01,125,9.6817,1.97736
20,66,3,56,9.99,130,9.6817,1.97736
20,66,3,56,9.98,135,9.7797,1.97736
20,66,3,56,9.98,140,9.9694,1.97736
20,66,3,56.1,10,145,10.2081,1.97736
20,66,3,56.1,10.02,150,10.2123,1.97736
20,66,3,56.1,10,155,10.2123,1.97736
20,66,3,56.1,9.99,160,10.2424,1.97736
20,66,3,56.1,9.99,165,10.3159,1.97736
20,66,3,56.1,9.99,170,10.4482,1.97736
20,66,3,56.1,10.02,175,10.6288,1.97736
20,66,3,56.1,10.01,180,10.6288,1.97736
20,66,3,56.1,10,185,10.6288,1.97736
20,66,3,56.1,10,190,10.6477,1.97736
