Substrate,Enzyme,Time,alphaNH
10,1,0,0.0
10,1,85,0.037450038690918175
10,1,90,0.07490007738183635
10,1,95,0.11235011607275452
10,1,100,0.14988951875714973
10,1,105,0.18759317486771823
10,1,110,0.2251118098412619
10,1,115,0.2624666875345147
10,1,120,0.3003405902767567
10,1,125,0.3378831640613514
10,1,130,0.3756707020218654
10,1,135,0.41323777222405206
10,1,140,0.45080484242623853
10,1,145,0.48805345919972976
10,1,150,0.5262899210050213
10,1,155,0.5638820582196657
10,1,160,0.60147419543431
10,1,165,0.6390663326489545
10,1,170,0.6766584698635989
10,1,175,0.7142506070782432
10,1,180,0.7528807299437766
10,1,185,0.7905247664409655
10,1,190,0.8270270187221764
10,1,195,0.8652091265950874
10,1,200,0.903456875932532
10,1,205,0.9398034303661096
10,1,210,0.9767438252568502
10,1,215,1.0163889854240986
10,1,220,1.053298067159237
10,1,225,1.090915855272067
10,1,230,1.128533643384897
10,1,235,1.1661514314977268
10,1,240,1.2037692196105565
10,1,245,1.2422532044072314
10,1,250,1.278132665297909
10,1,255,1.3157248025125534
10,1,260,1.3542403720618763
10,1,265,1.3918581601747064
10,1,270,1.4294759482875357
10,1,275,1.4670937364003658
10,1,280,1.5026828080874617
10,1,285,1.5412776258004195
10,1,290,1.576788098952973
10,1,295,1.613301303862377
10,1,300,1.6529510888962082
10,1,305,1.6916460686622394
10,1,310,1.7269583940913509
10,1,315,1.7645009678759456
10,1,320,1.8020435416605403
10,1,325,1.8407864399071407
10,1,330,1.8771286892297296
10,1,335,1.9146712630143243
10,1,340,1.9485637438429466
10,1,345,1.9860361235322341
10,1,350,2.0247430181233996
10,1,355,2.0635249235449007
10,1,360,2.098453262600096
10,1,365,2.1359256422893838
10,1,370,2.173398021978671
10,1,375,2.208264167909747
10,1,380,2.2470023214550907
10,1,385,2.283120580381264
10,1,390,2.321902398836927
10,1,395,2.360759920425108
10,1,400,2.3940397278688943
10,1,405,2.4300913594840523
10,1,410,2.4674773803991914
10,1,415,2.506260340112749
10,1,420,2.546602630982436
10,1,425,2.5825462302673317
10,1,430,2.6142013972696323
10,1,435,2.652960843454978
10,1,440,2.6903264891374428
10,1,445,2.727692134819907
10,1,450,2.7650577805023717
10,1,455,2.8039515686354446
10,1,460,2.8339395541431514
10,1,465,2.8726590798322844
10,1,470,2.911449531944159
10,1,475,2.9487758079947257
10,1,480,2.9861020840452914
10,1,485,3.0250044739834316
10,1,490,3.060754636146424
10,1,495,3.090540746223318
10,1,500,3.124961421634977
10,1,505,3.163571080246929
10,1,510,3.202247038255486
10,1,515,3.2394824689328754
10,1,520,3.2752265301379975
10,1,525,3.3124450134350196
10,1,530,3.3481729517517613
10,1,535,3.388424191642433
