Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
5,2.5,1,59.799,9.88,0.378,0,2.052
5,2.5,1,59.799,9.881,0.758,0,2.052
5,2.5,1,59.799,9.881,0.759,0,2.052
5,2.5,1,59.799,9.881,1.904,0.121,2.052
5,2.5,1,59.794,10.016,123.359,0.323,2.052
5,2.5,1,59.805,10.036,243.393,0.423,2.052
5,2.5,1,59.633,10.06,363.427,0.523,2.052
5,2.5,1,59.605,10.033,843.585,0.623,2.052
5,2.5,1,59.628,10.036,1203.696,0.723,2.052
5,2.5,1,59.609,10.061,1563.805,0.823,2.052
5,2.5,1,59.609,10.025,1923.922,0.824,2.052
5,2.5,1,59.634,10.054,2284.029,0.83,2.052
5,2.5,1,59.634,10.033,2644.146,0.85,2.052
5,2.5,1,59.513,10.058,3004.267,0.87,2.052
5,2.5,1,59.513,10.039,3364.373,0.8908,2.052
5,2.5,1,59.542,10.077,3604.443,0.939,2.052
