Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base,
10,5,1,60.291,9.868,0.378,0,2.052,0
10,5,1,60.291,9.868,0.758,0,2.052,0
10,5,1,60.291,9.868,0.759,0,2.052,0
10,5,1,60.291,9.941,2.09,0.121,2.052,7.26
10,5,1,60.295,9.896,12.165,0.121,2.052,7.26
10,5,1,60.295,9.896,12.166,0.121,2.052,7.26
10,5,1,60.295,9.896,12.167,0.121,2.052,7.26
10,5,1,60.295,9.896,12.353,0.121,2.052,7.26
10,5,1,60.295,9.896,12.354,0.121,2.052,7.26
10,5,1,60.295,9.978,13.689,0.243,2.052,14.58
10,5,1,60.284,9.925,23.766,0.243,2.052,14.58
10,5,1,60.301,9.956,34.792,0.343,2.052,20.58
10,5,1,60.275,9.99,45.823,0.443,2.052,26.58
10,5,1,60.279,10.015,56.851,0.543,2.052,32.58
10,5,1,60.282,10.117,92.058,0.643,2.052,38.58
10,5,1,60.282,10.002,167.082,0.643,2.052,38.58
10,5,1,60.288,10.176,172.084,0.743,2.052,44.58
10,5,1,60.234,10.043,257.111,0.843,2.052,50.58
10,5,1,60.145,10.067,392.155,0.943,2.052,56.58
10,5,1,60.13,10.168,557.202,1.043,2.052,62.58
10,5,1,60.083,10.053,712.254,1.143,2.052,68.58
10,5,1,60.083,9.999,962.332,1.243,2.052,74.58
10,5,1,60.098,10,1192.405,1.25,2.052,75
10,5,1,60.078,10.029,1322.441,1.343,2.052,80.58
10,5,1,60.078,10.029,1623,1.343,2.052,80.58
10,5,1,60.078,10.029,1991,1.383,2.052,82.98
10,5,1,60.124,10.011,2363.696,1.443,2.052,86.58
10,5,1,60.124,10.011,2700,1.473,2.052,88.38
10,5,1,60.124,10.011,3158.935,1.543,2.052,92.58
10,5,1,60.124,10.011,3549.047,1.643,2.052,98.58
10,5,1,60.124,10.011,3678.111,1.643,2.052,98.58
