Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
10,33,2,36.3,9.2,0,0,2.007
10,33,2,36.4,9.18,5,0.063,2.007
10,33,2,36.6,9.18,10,0.126,2.007
10,33,2,36.6,9.15,15,0.189,2.007
10,33,2,36.8,9.14,20,0.252,2.007
10,33,2,36.9,9.11,25,0.315,2.007
10,33,2,37.1,9.12,30,0.378,2.007
10,33,2,37.2,9.12,35,0.441,2.007
10,33,2,37.3,9.12,40,0.504,2.007
10,33,2,37.5,9.11,45,0.567,2.007
10,33,2,37.6,9.1,50,0.63,2.007
10,33,2,37.7,9.08,55,0.693,2.007
10,33,2,37.9,9.07,60,0.756,2.007
10,33,2,38,9.07,65,0.819,2.007
10,33,2,38.1,9.08,70,0.882,2.007
10,33,2,38.3,9.08,75,0.945,2.007
10,33,2,38.4,9.06,80,1.008,2.007
10,33,2,38.5,9.04,85,1.071,2.007
10,33,2,38.6,9.04,90,1.134,2.007
10,33,2,38.8,9.06,95,1.197,2.007
10,33,2,39,9.05,100,1.26,2.007
10,33,2,39.1,9.04,105,1.323,2.007
10,33,2,39.2,9.02,110,1.386,2.007
10,33,2,39.4,9.02,115,1.449,2.007
10,33,2,39.5,9.02,120,1.512,2.007
10,33,2,39.7,9.05,125,1.575,2.007
10,33,2,39.8,9.04,130,1.638,2.007
10,33,2,39.9,9.02,135,1.701,2.007
10,33,2,40,9,140,1.764,2.007
10,33,2,40.2,9,145,1.827,2.007
10,33,2,40.3,8.98,150,1.89,2.007
10,33,2,40.5,9.02,155,1.953,2.007
10,33,2,40.6,9.01,160,2.016,2.007
10,33,2,40.8,8.99,165,2.079,2.007
10,33,2,40.9,9,170,2.142,2.007
10,33,2,41,8.99,175,2.205,2.007
10,33,2,41.1,8.97,180,2.268,2.007
10,33,2,41.3,9,185,2.331,2.007
10,33,2,41.4,8.99,190,2.394,2.007
10,33,2,41.5,8.98,195,2.457,2.007
10,33,2,41.6,8.97,200,2.52,2.007
10,33,2,41.8,8.97,205,2.583,2.007
10,33,2,41.9,8.97,210,2.646,2.007
10,33,2,42.1,9.01,215,2.709,2.007
10,33,2,42.2,8.98,220,2.772,2.007
10,33,2,42.4,8.97,225,2.835,2.007
10,33,2,42.5,8.96,230,2.898,2.007
10,33,2,42.7,8.96,235,2.961,2.007
10,33,2,42.8,8.94,240,3.024,2.007
10,33,2,43,8.98,245,3.087,2.007
10,33,2,43.1,8.96,250,3.15,2.007
10,33,2,43.3,8.96,255,3.213,2.007
10,33,2,43.4,8.96,260,3.276,2.007
10,33,2,43.5,8.95,265,3.339,2.007
10,33,2,43.6,8.94,270,3.402,2.007
10,33,2,43.8,8.97,275,3.465,2.007
10,33,2,43.9,8.96,280,3.528,2.007
10,33,2,44.1,8.95,285,3.591,2.007
10,33,2,44.2,8.95,290,3.654,2.007
10,33,2,44.4,8.95,295,3.717,2.007
10,33,2,44.5,8.94,300,3.78,2.007
10,33,2,44.7,8.96,305,3.843,2.007
10,33,2,44.8,8.94,310,3.906,2.007
10,33,2,45,8.94,315,3.969,2.007
10,33,2,45.1,8.95,320,4.032,2.007
10,33,2,45.3,8.93,325,4.095,2.007
10,33,2,45.4,8.92,330,4.158,2.007
10,33,2,45.6,8.96,335,4.221,2.007
10,33,2,45.7,8.94,340,4.284,2.007
10,33,2,45.9,8.94,345,4.347,2.007
10,33,2,46,8.93,350,4.662,2.007
10,33,2,46.1,8.92,355,4.977,2.007
10,33,2,46.3,8.92,360,5.292,2.007
10,33,2,46.4,8.97,365,5.607,2.007
10,33,2,46.6,9.01,370,5.922,2.007
10,33,2,46.6,9.04,375,6.237,2.007
10,33,2,46.8,9.04,380,6.552,2.007
10,33,2,46.9,9.03,385,6.867,2.007
10,33,2,47,9.03,390,7.182,2.007
10,33,2,47.1,9.07,395,7.497,2.007
10,33,2,47.2,9.11,400,7.812,2.007
10,33,2,47.3,9.16,405,8.127,2.007
10,33,2,47.4,9.16,410,8.442,2.007
10,33,2,47.6,9.16,415,8.757,2.007
10,33,2,47.7,9.15,420,9.072,2.007
10,33,2,47.8,9.18,425,9.387,2.007
10,33,2,48,9.25,430,9.702,2.007
10,33,2,48.2,9.29,435,10.017,2.007
10,33,2,48.3,9.28,440,10.332,2.007
10,33,2,48.5,9.28,445,10.647,2.007
10,33,2,48.6,9.28,450,10.962,2.007
10,33,2,48.7,9.31,455,11.277,2.007
10,33,2,48.9,9.37,460,11.592,2.007
10,33,2,49,9.4,465,11.907,2.007
10,33,2,49.1,9.41,470,12.222,2.007
10,33,2,49.3,9.41,475,12.537,2.007
10,33,2,49.4,9.39,480,12.852,2.007
10,33,2,49.5,9.43,485,13.167,2.007
10,33,2,49.6,9.49,490,13.35285,2.007
10,33,2,49.8,9.53,495,13.35348,2.007
10,33,2,49.9,9.53,500,13.35411,2.007
10,33,2,50,9.52,505,13.35852,2.007
10,33,2,50.1,9.52,510,13.36167,2.007
10,33,2,50.3,9.52,515,13.36293,2.007
10,33,2,50.4,9.52,520,13.36734,2.007
10,33,2,50.5,9.51,525,13.3749,2.007
10,33,2,50.7,9.51,530,13.38435,2.007
10,33,2,50.9,9.51,535,13.39695,2.007
10,33,2,51,9.5,540,13.41144,2.007
10,33,2,51.1,9.5,545,13.42593,2.007
10,33,2,51.3,9.49,550,13.44546,2.007
10,33,2,51.5,9.49,555,13.47003,2.007
10,33,2,51.6,9.49,560,13.49523,2.007
10,33,2,51.8,9.49,565,13.52169,2.007
10,33,2,51.9,9.49,570,13.55256,2.007
10,33,2,52.1,9.5,575,13.57398,2.007
10,33,2,52.2,9.5,580,13.59603,2.007
10,33,2,52.4,9.49,585,13.62123,2.007
10,33,2,52.4,9.49,590,13.65147,2.007
10,33,2,52.6,9.49,595,13.68108,2.007
10,33,2,52.7,9.48,600,13.71447,2.007
10,33,2,52.9,9.5,605,13.73463,2.007
10,33,2,53,9.5,610,13.75983,2.007
10,33,2,53.2,9.49,615,13.78881,2.007
10,33,2,53.3,9.49,620,13.81779,2.007
10,33,2,53.4,9.48,625,13.85055,2.007
10,33,2,53.6,9.48,630,13.88268,2.007
10,33,2,53.6,9.49,635,13.90662,2.007
10,33,2,53.6,9.49,640,13.93308,2.007
10,33,2,53.6,9.49,645,13.96332,2.007
10,33,2,53.6,9.49,650,13.99293,2.007
10,33,2,53.6,9.49,655,14.02317,2.007
10,33,2,53.6,9.49,660,14.05278,2.007
10,33,2,53.7,9.5,665,14.07042,2.007
10,33,2,53.7,9.5,670,14.0931,2.007
10,33,2,53.8,9.49,675,14.11704,2.007
10,33,2,53.8,9.49,680,14.1435,2.007
10,33,2,53.9,9.5,685,14.16492,2.007
10,33,2,54,9.49,690,14.19201,2.007
10,33,2,54,9.5,695,14.21091,2.007
10,33,2,54.1,9.49,700,14.2317,2.007
10,33,2,54.2,9.49,705,14.25627,2.007
10,33,2,54.3,9.49,710,14.27958,2.007
10,33,2,54.4,9.5,715,14.301,2.007
10,33,2,54.5,9.49,720,14.32683,2.007
10,33,2,54.6,9.51,725,14.34321,2.007
10,33,2,54.7,9.5,730,14.36211,2.007
10,33,2,54.9,9.5,735,14.3829,2.007
10,33,2,55,9.5,740,14.39991,2.007
10,33,2,55.1,9.5,745,14.42196,2.007
10,33,2,55.2,9.5,750,14.44212,2.007
10,33,2,55.3,9.51,755,14.45598,2.007
10,33,2,55.3,9.51,760,14.46858,2.007
10,33,2,55.3,9.51,765,14.48307,2.007
10,33,2,55.3,9.5,770,14.5026,2.007
10,33,2,55.3,9.51,775,14.51709,2.007
10,33,2,55.3,9.51,780,14.53095,2.007
10,33,2,55.4,9.51,785,14.54166,2.007
10,33,2,55.4,9.51,790,14.55048,2.007
10,33,2,55.5,9.51,795,14.56182,2.007
10,33,2,55.6,9.51,800,14.57316,2.007
10,33,2,55.8,9.51,805,14.58324,2.007
10,33,2,55.9,9.51,810,14.59332,2.007
10,33,2,56.1,9.52,815,14.5971,2.007
10,33,2,56.2,9.52,820,14.60088,2.007
10,33,2,56.4,9.52,825,14.60592,2.007
10,33,2,56.5,9.52,830,14.60655,2.007
10,33,2,56.6,9.52,835,14.6097,2.007
10,33,2,56.8,9.52,840,14.61033,2.007
10,33,2,56.9,9.53,845,14.61096,2.007
10,33,2,57,9.53,850,14.61159,2.007
10,33,2,57.2,9.53,855,14.61222,2.007
10,33,2,57.3,9.54,860,14.61285,2.007
10,33,2,57.4,9.54,865,14.61348,2.007
10,33,2,57.4,9.54,870,14.61411,2.007
10,33,2,57.5,9.54,875,14.61474,2.007
10,33,2,57.6,9.55,880,14.61537,2.007
10,33,2,57.7,9.55,885,14.616,2.007
10,33,2,57.7,9.56,890,14.61663,2.007
10,33,2,57.8,9.56,895,14.61726,2.007
10,33,2,57.8,9.57,900,14.61789,2.007
10,33,2,57.8,9.58,905,14.61852,2.007
10,33,2,57.9,9.58,910,14.61915,2.007
10,33,2,57.9,9.59,915,14.61978,2.007
10,33,2,57.9,9.59,920,14.62041,2.007
10,33,2,57.9,9.59,925,14.62104,2.007
10,33,2,57.9,9.6,930,14.62167,2.007
10,33,2,57.9,9.61,935,14.6223,2.007
10,33,2,57.9,9.61,940,14.62293,2.007
10,33,2,57.9,9.62,945,14.62356,2.007
10,33,2,57.9,9.62,950,14.62419,2.007
10,33,2,57.9,9.62,955,14.62482,2.007
10,33,2,57.9,9.63,960,14.62545,2.007
10,33,2,57.8,9.64,965,14.62608,2.007
10,33,2,57.8,9.64,970,14.62671,2.007
10,33,2,57.6,9.65,975,14.62734,2.007
10,33,2,57.5,9.66,980,14.62797,2.007
10,33,2,57.3,9.66,985,14.6286,2.007
10,33,2,57.2,9.67,990,14.62923,2.007
10,33,2,57.2,9.67,995,14.62986,2.007
10,33,2,57.1,9.68,1000,14.63049,2.007
10,33,2,57,9.68,1005,14.63112,2.007
10,33,2,56.8,9.69,1010,14.63175,2.007
10,33,2,56.7,9.7,1015,14.63238,2.007
10,33,2,56.5,9.71,1020,14.63301,2.007
10,33,2,56.4,9.71,1025,14.63364,2.007
10,33,2,56.3,9.72,1030,14.63427,2.007
10,33,2,56.1,9.72,1035,14.6349,2.007
10,33,2,56,9.72,1040,14.63553,2.007
10,33,2,55.9,9.72,1045,14.63616,2.007
10,33,2,55.8,9.73,1050,14.63679,2.007
10,33,2,55.7,9.74,1055,14.63742,2.007
10,33,2,55.6,9.74,1060,14.63805,2.007
10,33,2,55.5,9.74,1065,14.63868,2.007
10,33,2,55.4,9.75,1070,14.63931,2.007
10,33,2,55.3,9.75,1075,14.63994,2.007
10,33,2,55.2,9.75,1080,14.64057,2.007
10,33,2,55.1,9.76,1085,14.6412,2.007
10,33,2,55,9.76,1090,14.64183,2.007
10,33,2,54.9,9.77,1095,14.64246,2.007
10,33,2,54.8,9.78,1100,14.64309,2.007
10,33,2,54.8,9.78,1105,14.64372,2.007
10,33,2,54.7,9.78,1110,14.64435,2.007
10,33,2,54.6,9.78,1115,14.64498,2.007
10,33,2,54.5,9.79,1120,14.64561,2.007
10,33,2,54.4,9.79,1125,14.64624,2.007
10,33,2,54.3,9.79,1130,14.64687,2.007
10,33,2,54.2,9.8,1135,14.6475,2.007
10,33,2,54.2,9.8,1140,14.64813,2.007
10,33,2,54.1,9.8,1145,14.64876,2.007
10,33,2,54.1,9.8,1150,14.64939,2.007
10,33,2,54.1,9.8,1155,14.65002,2.007
10,33,2,54,9.81,1160,14.65065,2.007
10,33,2,54,9.81,1165,14.65128,2.007
10,33,2,54,9.81,1170,14.65191,2.007
10,33,2,54,9.82,1175,14.65254,2.007
10,33,2,53.9,9.81,1180,14.65317,2.007
10,33,2,53.9,9.82,1185,14.6538,2.007
10,33,2,53.9,9.82,1190,14.65443,2.007
10,33,2,53.8,9.82,1195,14.65506,2.007
10,33,2,53.8,9.82,1200,14.65569,2.007
10,33,2,53.8,9.82,1205,14.65632,2.007
10,33,2,53.7,9.82,1210,14.65695,2.007
10,33,2,53.7,9.82,1215,14.65758,2.007
10,33,2,53.7,9.84,1220,14.65821,2.007
10,33,2,53.6,9.83,1225,14.65884,2.007
