Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
10,33,3,56.2,10.03,0,0,1.97736
10,33,3,56.2,9.99,5,0.0284,1.97736
10,33,3,56.2,9.91,10,0.7384,1.97736
10,33,3,49.6,9.9,15,1.4484,1.97736
10,33,3,53.5,9.92,20,2.1584,1.97736
10,33,3,54.7,9.9,25,2.8684,1.97736
10,33,3,55.4,9.9,30,3.5784,1.97736
10,33,3,55.5,9.91,35,4.2884,1.97736
10,33,3,55.8,9.92,40,4.99059,1.97736
10,33,3,55.8,9.99,45,5.34417,1.97736
10,33,3,56,9.98,50,5.58841,1.97736
10,33,3,56,9.98,55,5.96613,1.97736
10,33,3,56.1,10.04,60,5.96613,1.97736
10,33,3,56.1,9.99,65,5.96613,1.97736
10,33,3,56.1,9.95,70,6.47023,1.97736
10,33,3,56.2,9.93,75,7.18023,1.97736
10,33,3,56.1,9.95,80,7.68078,1.97736
10,33,3,56.1,10.21,85,7.68078,1.97736
10,33,3,56.1,10.23,90,7.68078,1.97736
10,33,3,56.1,10.18,95,7.68078,1.97736
10,33,3,56.1,10.15,100,7.68078,1.97736
10,33,3,56.1,10.12,105,7.68078,1.97736
10,33,3,56.1,10.11,110,7.68078,1.97736
10,33,3,56.1,10.04,115,7.68078,1.97736
10,33,3,56.1,10.02,120,7.68078,1.97736
10,33,3,56.1,9.96,125,7.79225,1.97736
10,33,3,56,9.94,130,8.25659,1.97736
10,33,3,56,9.9,135,8.93393,1.97736
10,33,3,56,9.89,140,9.64393,1.97736
10,33,3,56,9.93,145,10.35393,1.97736
10,33,3,55.9,9.95,150,10.76502,1.97736
10,33,3,55.9,9.99,155,10.99861,1.97736
10,33,3,55.9,10,160,10.99861,1.97736
10,33,3,55.8,9.98,165,11.16333,1.97736
10,33,3,55.8,9.99,170,11.28829,1.97736
10,33,3,55.8,10.04,175,11.28829,1.97736
10,33,3,55.7,10.01,180,11.28829,1.97736
10,33,3,55.7,10.01,185,11.28829,1.97736
10,33,3,55.7,10.02,190,11.28829,1.97736
10,33,3,55.7,10.01,195,11.28829,1.97736
10,33,3,55.6,9.98,200,11.44023,1.97736
10,33,3,55.6,9.99,205,11.50768,1.97736
10,33,3,55.5,9.99,210,11.55241,1.97736
10,33,3,55.5,9.99,215,11.61844,1.97736
10,33,3,55.5,9.98,220,11.79097,1.97736
10,33,3,55.5,9.99,225,12.00752,1.97736
10,33,3,55.5,10,230,12.01391,1.97736
10,33,3,55.4,10,235,12.18786,1.97736
10,33,3,55.4,10,240,12.22549,1.97736
10,33,3,55.4,9.98,245,12.24821,1.97736
10,33,3,55.4,9.98,250,12.44772,1.97736
10,33,3,55.3,9.96,255,12.85029,1.97736
10,33,3,55.3,9.98,260,13.0072,1.97736
10,33,3,55.3,10.12,265,13.0072,1.97736
10,33,3,55.3,10.14,270,13.0072,1.97736
10,33,3,55.2,10.14,275,13.0072,1.97736
10,33,3,55.2,10.15,280,13.0072,1.97736
10,33,3,55.2,10.16,285,13.0072,1.97736
10,33,3,55.2,10.18,290,13.0072,1.97736
10,33,3,55.2,10.14,295,13.0072,1.97736
10,33,3,55.2,10.12,300,13.0072,1.97736
10,33,3,55.2,10.1,305,13.0072,1.97736
10,33,3,55.1,10.09,310,13.0072,1.97736
10,33,3,55.1,10.08,315,13.0072,1.97736
10,33,3,55.1,10.06,320,13.0072,1.97736
10,33,3,55.1,10.05,325,13.0072,1.97736
10,33,3,55.1,10.04,330,13.0072,1.97736
10,33,3,55.1,10.02,335,13.0072,1.97736
10,33,3,55.1,10.01,340,13.0072,1.97736
10,33,3,55.1,10,345,13.0072,1.97736
10,33,3,55.1,9.99,350,13.0072,1.97736
10,33,3,55.1,9.96,355,13.0072,1.97736
10,33,3,55.1,9.94,360,13.36291,1.97736
10,33,3,55.1,9.93,365,13.80879,1.97736
10,33,3,55.1,9.93,370,14.25893,1.97736
