Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
40,132,3,55.2,10.06,0,0,1.97736
40,132,3,50.6,10.06,5,0.03888,1.97736
40,132,3,47.2,10.03,10,0.07128,1.97736
40,132,3,45.8,10.02,15,0.34488,1.97736
40,132,3,53.7,10.01,20,0.75456,1.97736
40,132,3,54.6,10.01,25,1.21104,1.97736
40,132,3,55.2,10.01,30,1.70208,1.97736
40,132,3,55.4,10,35,2.19888,1.97736
40,132,3,55.6,9.99,40,2.69784,1.97736
40,132,3,55.7,9.99,45,3.33576,1.97736
40,132,3,55.8,9.99,50,4.00464,1.97736
40,132,3,55.9,9.99,55,4.65984,1.97736
40,132,3,56,9.99,60,5.31288,1.97736
40,132,3,56,10,65,5.91912,1.97736
40,132,3,56.1,10,70,6.43176,1.97736
40,132,3,56.1,10,75,7.00128,1.97736
40,132,3,56.2,10.01,80,7.60752,1.97736
40,132,3,56.2,10,85,8.11944,1.97736
40,132,3,56.2,10.02,90,8.64288,1.97736
40,132,3,56.2,10,95,9.06624,1.97736
40,132,3,56.2,10,100,9.52992,1.97736
40,132,3,56.3,10,105,10.12608,1.97736
40,132,3,56.3,10.01,110,10.76256,1.97736
40,132,3,56.3,10.01,115,11.2608,1.97736
40,132,3,56.3,10.01,120,11.60712,1.97736
40,132,3,56.3,10.01,125,12.06648,1.97736
40,132,3,56.3,10,130,12.51288,1.97736
40,132,3,56.2,10,135,13.03632,1.97736
40,132,3,56.2,10.01,140,13.58064,1.97736
40,132,3,56.2,10.02,145,14.00976,1.97736
40,132,3,56.2,10.03,150,14.41368,1.97736
40,132,3,56.2,10.02,155,14.73984,1.97736
40,132,3,56.1,10.02,160,15.07536,1.97736
40,132,3,56.1,10.02,165,15.4476,1.97736
40,132,3,56,10.03,170,15.8544,1.97736
40,132,3,56,10.07,175,16.16256,1.97736
40,132,3,56,10.04,180,16.26192,1.97736
40,132,3,55.9,10.03,185,16.46352,1.97736
40,132,3,55.9,10.03,190,16.7184,1.97736
40,132,3,55.8,10.03,195,17.00928,1.97736
40,132,3,55.8,10.05,200,17.3124,1.97736
40,132,3,55.8,10.04,205,17.43984,1.97736
40,132,3,55.7,10.04,210,17.58024,1.97736
40,132,3,55.7,10.04,215,17.77392,1.97736
40,132,3,55.6,10.03,220,17.96976,1.97736
40,132,3,55.6,10.04,225,18.19512,1.97736
40,132,3,55.6,10.04,230,18.42624,1.97736
40,132,3,55.5,10.04,235,18.53568,1.97736
40,132,3,55.5,10.04,240,18.64584,1.97736
40,132,3,55.5,10.04,245,18.76104,1.97736
40,132,3,55.4,10.04,250,18.91656,1.97736
40,132,3,55.4,10.04,255,19.08648,1.97736
40,132,3,55.4,10.04,260,19.25568,1.97736
40,132,3,55.4,10.04,265,19.37232,1.97736
40,132,3,55.3,10.04,270,19.46016,1.97736
40,132,3,55.3,10.04,275,19.56168,1.97736
40,132,3,55.3,10.04,280,19.67112,1.97736
40,132,3,55.2,10.04,285,19.79712,1.97736
40,132,3,55.2,10.05,290,19.93752,1.97736
40,132,3,55.2,10.04,295,19.98,1.97736
40,132,3,55.2,10.04,300,20.0448,1.97736
40,132,3,55.2,10.04,305,20.12616,1.97736
